<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,11:12:00,228.8800000,228.9100000,228.8400000,228.8600000,5474
US2.AAPL,1,20180904,11:13:00,228.8600000,228.8600000,228.7400000,228.7900000,4647
US2.AAPL,1,20180904,11:14:00,228.7800000,228.9000000,228.7800000,228.8900000,3033
US2.AAPL,1,20180904,11:15:00,228.8800000,228.8800000,228.6900000,228.7400000,4315
US2.AAPL,1,20180904,11:16:00,228.7400000,228.8200000,228.7200000,228.7200000,3000
US2.AAPL,1,20180904,11:17:00,228.7100000,228.7800000,228.6200000,228.6200000,3900
US2.AAPL,1,20180904,11:18:00,228.6650000,228.7600000,228.6300000,228.6900000,4599
US2.AAPL,1,20180904,11:19:00,228.7100000,228.8800000,228.7100000,228.8800000,4000
US2.AAPL,1,20180904,11:20:00,228.9000000,228.9000000,228.7800000,228.8400000,5289
US2.AAPL,1,20180904,11:21:00,228.8900000,228.9300000,228.8800000,228.9100000,1800
US2.AAPL,1,20180904,11:22:00,228.9300000,229.1300000,228.9200000,229.0800000,7250
US2.AAPL,1,20180904,11:23:00,229.0600000,229.1400000,229.0500000,229.1100000,4098
US2.AAPL,1,20180904,11:24:00,229.0800000,229.1700000,229.0700000,229.0800000,5800
US2.AAPL,1,20180904,11:25:00,229.0800000,229.0800000,228.9450000,228.9700000,4600
US2.AAPL,1,20180904,11:26:00,228.9250000,229.0600000,228.8400000,229.0500000,3900
US2.AAPL,1,20180904,11:27:00,229.0550000,229.0550000,228.8600000,228.8600000,3679
US2.AAPL,1,20180904,11:28:00,228.8300000,228.8350000,228.6600000,228.6600000,5100
US2.AAPL,1,20180904,11:29:00,228.6900000,228.7400000,228.4800000,228.5000000,4021
US2.AAPL,1,20180904,11:30:00,228.4900000,228.6600000,228.4700000,228.6500000,3138
US2.AAPL,1,20180904,11:31:00,228.6500000,228.7300000,228.6000000,228.6700000,2500
US2.AAPL,1,20180904,11:32:00,228.6800000,228.7500000,228.6100000,228.7000000,2800
US2.AAPL,1,20180904,11:33:00,228.7450000,228.8600000,228.6900000,228.7400000,8590
US2.AAPL,1,20180904,11:34:00,228.7100000,228.7600000,228.6500000,228.6500000,3636
US2.AAPL,1,20180904,11:35:00,228.6800000,228.6800000,228.5200000,228.5200000,4500
US2.AAPL,1,20180904,11:36:00,228.5400000,228.6500000,228.5300000,228.5600000,3961
US2.AAPL,1,20180904,11:37:00,228.6300000,228.6900000,228.6300000,228.6800000,900
